wavelen,Nr,Ni
2.68E+00,1.1741,3.42E-03
2.73E+00,1.1473,7.92E-03
2.78E+00,1.1077,2.00E-02
2.82E+00,1.0674,3.80E-02
2.83E+00,1.0476,5.20E-02
2.85E+00,1.0265,6.80E-02
2.87E+00,1.0036,9.23E-02
2.88E+00,0.982,1.27E-01
2.90E+00,0.965,1.69E-01
2.92E+00,0.9596,2.21E-01
2.93E+00,0.9727,2.76E-01
2.95E+00,0.9917,3.12E-01
2.97E+00,1.0067,3.47E-01
2.99E+00,1.0219,3.88E-01
3.00E+00,1.0427,4.38E-01
3.02E+00,1.076,4.93E-01
3.04E+00,1.1295,5.54E-01
3.06E+00,1.2127,6.12E-01
3.08E+00,1.3251,6.25E-01
3.10E+00,1.426,5.93E-01
3.12E+00,1.4966,5.39E-01
3.14E+00,1.551,4.91E-01
3.16E+00,1.5999,4.38E-01
3.18E+00,1.6363,3.72E-01
3.20E+00,1.6502,3.00E-01
3.22E+00,1.6428,2.38E-01
3.24E+00,1.6269,1.93E-01
3.26E+00,1.6128,1.58E-01
3.28E+00,1.5924,1.21E-01
3.30E+00,1.5733,1.03E-01
3.32E+00,1.5577,8.36E-02
3.35E+00,1.5413,6.68E-02
3.37E+00,1.5265,5.40E-02
3.39E+00,1.5114,4.22E-02
3.41E+00,1.4973,3.42E-02
3.44E+00,1.4845,2.74E-02
3.46E+00,1.4721,2.20E-02
3.48E+00,1.4612,1.86E-02
3.51E+00,1.4513,1.52E-02
3.53E+00,1.4421,1.26E-02
3.56E+00,1.4337,1.06E-02
3.62E+00,1.4155,8.02E-03
3.73E+00,1.3942,6.85E-03
3.78E+00,1.3873,6.60E-03
3.85E+00,1.3773,6.96E-03
3.97E+00,1.3645,9.16E-03
4.10E+00,1.3541,1.11E-02
4.24E+00,1.3446,1.45E-02
4.35E+00,1.3388,2.00E-02
4.39E+00,1.3381,2.30E-02
4.44E+00,1.3385,2.60E-02
4.51E+00,1.3405,2.90E-02
4.55E+00,1.3429,2.93E-02
4.56E+00,1.3442,3.00E-02
4.58E+00,1.3463,2.85E-02
4.72E+00,1.3442,1.73E-02
4.90E+00,1.3345,1.29E-02
5.00E+00,1.329,1.20E-02
5.10E+00,1.3233,1.25E-02
5.20E+00,1.318,1.34E-02
5.26E+00,1.3143,1.40E-02
5.40E+00,1.3062,1.75E-02
5.56E+00,1.2972,2.40E-02
5.71E+00,1.289,3.50E-02
5.75E+00,1.2873,3.80E-02
5.78E+00,1.286,4.20E-02
5.81E+00,1.2851,4.60E-02
5.85E+00,1.2854,5.20E-02
5.88E+00,1.2881,5.70E-02
6.06E+00,1.3016,6.90E-02
6.14E+00,1.309,7.00E-02
6.25E+00,1.3172,6.70E-02
6.29E+00,1.3189,6.50E-02
6.33E+00,1.3204,6.40E-02
6.37E+00,1.322,6.20E-02
6.41E+00,1.3224,5.90E-02
6.45E+00,1.3215,5.70E-02
6.49E+00,1.3204,5.60E-02
6.58E+00,1.3181,5.50E-02
6.67E+00,1.3171,5.70E-02
6.76E+00,1.3181,5.80E-02
6.90E+00,1.3195,5.70E-02
7.04E+00,1.3193,5.50E-02
7.14E+00,1.319,5.50E-02
7.25E+00,1.3191,5.40E-02
7.35E+00,1.318,5.20E-02
7.46E+00,1.3163,5.20E-02
7.58E+00,1.3154,5.20E-02
7.69E+00,1.3154,5.20E-02
7.81E+00,1.3155,5.00E-02
7.94E+00,1.3145,4.70E-02
8.07E+00,1.3119,4.30E-02
8.20E+00,1.3068,3.90E-02
8.33E+00,1.2993,3.70E-02
8.48E+00,1.2925,3.90E-02
8.70E+00,1.2839,4.00E-02
8.93E+00,1.274,4.20E-02
9.09E+00,1.2672,4.40E-02
9.26E+00,1.2599,4.50E-02
9.52E+00,1.2451,4.60E-02
9.80E+00,1.2224,4.70E-02
1.00E+01,1.1991,5.10E-02
1.02E+01,1.1715,6.50E-02
1.03E+01,1.1553,7.50E-02
1.04E+01,1.137,8.80E-02
1.05E+01,1.1181,1.08E-01
1.06E+01,1.1013,1.34E-01
1.08E+01,1.0908,1.68E-01
1.09E+01,1.0873,2.04E-01
1.10E+01,1.0925,2.48E-01
1.11E+01,1.1065,2.80E-01
1.14E+01,1.1478,3.41E-01
1.16E+01,1.202,3.79E-01
1.19E+01,1.2582,4.09E-01
1.22E+01,1.3231,4.22E-01
1.25E+01,1.3857,4.22E-01
1.28E+01,1.4448,4.03E-01
1.30E+01,1.4717,3.89E-01
1.32E+01,1.4962,3.74E-01
1.33E+01,1.5165,3.54E-01
1.35E+01,1.5333,3.35E-01
1.37E+01,1.549,3.15E-01
1.39E+01,1.5628,2.94E-01
1.41E+01,1.5732,2.71E-01
1.43E+01,1.5803,2.46E-01
1.47E+01,1.5792,1.98E-01
1.52E+01,1.5667,1.64E-01
1.54E+01,1.5587,1.52E-01
1.56E+01,1.5508,1.42E-01
1.61E+01,1.5381,1.28E-01
1.64E+01,1.533,1.25E-01
1.67E+01,1.5322,1.23E-01
1.70E+01,1.5334,1.16E-01
1.72E+01,1.5329,1.07E-01
1.82E+01,1.517,7.90E-02
1.89E+01,1.501,7.20E-02
1.92E+01,1.4968,7.60E-02
1.96E+01,1.4993,7.50E-02
2.00E+01,1.5015,6.70E-02
2.04E+01,1.4986,5.50E-02
2.08E+01,1.4905,4.50E-02
2.22E+01,1.4607,2.90E-02
2.26E+01,1.4518,2.75E-02
2.31E+01,1.4422,2.70E-02
2.36E+01,1.4316,2.73E-02
2.46E+01,1.4138,2.89E-02
2.50E+01,1.4068,3.00E-02
2.60E+01,1.3895,3.40E-02
2.86E+01,1.3489,5.30E-02
3.10E+01,1.3104,7.55E-02
3.33E+01,1.2642,1.06E-01
3.45E+01,1.2366,1.35E-01
3.56E+01,1.2166,1.76E-01
3.70E+01,1.2023,2.23E-01
3.82E+01,1.1964,2.75E-01
3.96E+01,1.1997,3.28E-01
4.11E+01,1.2086,3.91E-01
4.28E+01,1.2217,4.64E-01
4.36E+01,1.2417,5.25E-01
4.46E+01,1.2818,5.73E-01
4.55E+01,1.3278,6.36E-01
4.62E+01,1.3866,6.84E-01
4.67E+01,1.4649,7.09E-01
4.74E+01,1.5532,6.79E-01
4.80E+01,1.6038,6.25E-01
4.88E+01,1.6188,5.65E-01
5.00E+01,1.6296,5.43E-01
5.13E+01,1.6571,5.29E-01
5.28E+01,1.6981,5.07E-01
5.35E+01,1.7206,4.88E-01
5.42E+01,1.7486,4.71E-01
5.50E+01,1.7674,4.20E-01
5.57E+01,1.7648,3.77E-01
5.64E+01,1.7501,3.38E-01
5.70E+01,1.7233,3.06E-01
5.75E+01,1.6849,2.84E-01
5.84E+01,1.624,3.17E-01
5.93E+01,1.596,3.52E-01
6.00E+01,1.5851,3.90E-01
6.10E+01,1.5992,4.51E-01
6.13E+01,1.614,4.67E-01
6.25E+01,1.6662,4.78E-01
6.38E+01,1.7066,4.89E-01
